Site,Latitude,Longitude,Continent,Vegetation,Plot,FireFreq,FireSeason,FireStart,FireLast,SurveyYear,Duration,Grass Cover,Percent Cover,Percent Basal Cover,Grass Basal Area,Biomass dry ,Grass biomass dry weight (10^3Kgha^-1),Grass Biomass Dry (tonnes/ha),Grass Biomass fresh weight,Grass biomass dry weight (g/m2)
Alapaha,31.16666667,-83.25,,,2_0,0,CONT,1942,1942,1980,,4.5,,,,,,,,
Alapaha,31.16666667,-83.25,,,3_0,0.342105263,WINTER,1942,1979,1980,,40.67,,,,,,,,
Alapaha,31.16666667,-83.25,,,8_0,0.342105263,WINTER,1942,1979,1980,,10.82,,,,,,,,
Alapaha,31.16666667,-83.25,,,4_0,0.394736842,WINTER,1942,1979,1980,,31.84,,,,,,,,
Alapaha,31.16666667,-83.25,,,5_0,0.394736842,WINTER,1942,1979,1980,,39.01,,,,,,,,
Alapaha,31.16666667,-83.25,,,1_0,0.552631579,WINTER,1942,1979,1980,,22.96,,,,,,,,
Alapaha,31.16666667,-83.25,,,6_0,0.552631579,WINTER,1942,1979,1980,,15.49,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1F,0,CONT,N/A,1907,2007,,2.595,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1F,0,CONT,N/A,1907,2008,,1.625,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1I,0,CONT,N/A,1907,2007,,1.185,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1I,0,CONT,N/A,1907,2008,,1.14,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2C,0,CONT,N/A,1907,2007,,3.835,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2C,0,CONT,N/A,1907,2008,,3.28,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2A,0.125,NOV,1975,1999,2007,,3.825,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2A,0.125,NOV,1975,1999,2008,,2.94,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2B,0.125,NOV,1975,1999,2007,,9.885,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2B,0.125,NOV,1975,1999,2008,,4.755,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2H,0.125,NOV,1975,1999,2007,,6.37,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2H,0.125,NOV,1975,1999,2008,,6.27,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1A,0.25,NOV,1975,2003,2008,,5.04,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1A,0.25,NOV,1975,2003,2007,,4.96,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1D,0.25,NOV,1975,2003,2007,,8.175,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1D,0.25,NOV,1975,2003,2008,,7.575,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,4B,0.25,NOV,1975,2003,2007,,7.525,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,4B,0.25,NOV,1975,2003,2008,,5.895,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1B,0.1,NOV,1975,2005,2007,,5.56,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1B,0.1,NOV,1975,2005,2008,,6.415,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1C,0.1,NOV,1975,2005,2007,,3.93,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1C,0.1,NOV,1975,2005,2008,,3.91,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,3D,0.1,NOV,1975,2005,2008,,0.295,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,3D,0.1,NOV,1975,2005,2007,,0.2,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1G,0.166666667,NOV,1975,2005,2007,,4.795,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,1G,0.166666667,NOV,1975,2005,2008,,3.785,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2F,0.166666667,NOV,1975,2005,2007,,4.125,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2F,0.166666667,NOV,1975,2005,2008,,3.44,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,3F,0.166666667,NOV,1975,2005,2007,,6.725,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,3F,0.166666667,NOV,1975,2005,2008,,5.715,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2G,0.5,NOV,1975,2005,2007,,7.915,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2G,0.5,NOV,1975,2005,2008,,6.695,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,3B,0.5,NOV,1975,2005,2007,,7.395,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,3B,0.5,NOV,1975,2005,2008,,6.79,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,4A,0.5,NOV,1975,2005,2007,,8.205,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,4A,0.5,NOV,1975,2005,2008,,6.685,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2D,1,NOV,1975,2006,2007,,8.715,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2D,1,NOV,1975,2006,2008,,6.305,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2E,1,NOV,1975,2006,2008,,7.935,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,2E,1,NOV,1975,2006,2007,,6.255,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,3A,1,NOV,1975,2006,2007,,8.025,,,,,,,,
ChimneySpring,35.271793,-111.708191,,,3A,1,NOV,1975,2006,2008,,7.01,,,,,,,,
JosephJones,31.22,-84.48,,,noplotdata,0,CONT,2001,2001,2015,,31.65625,,,,,,,,
JosephJones,31.22,-84.48,,,noplotdata,0.571428571,FEB-APR,2001,2015,2015,,56.359375,,,,,,,,
Limestone,34.558498,-111.328313,,,3F,0,CONT,N/A,1907,2008,,2.665,,,,,,,,
Limestone,34.558498,-111.328313,,,3F,0,CONT,N/A,1907,2007,,2.13,,,,,,,,
Limestone,34.558498,-111.328313,,,5C,0,CONT,N/A,1907,2007,,1.485,,,,,,,,
Limestone,34.558498,-111.328313,,,5C,0,CONT,N/A,1907,2008,,1.475,,,,,,,,
Limestone,34.558498,-111.328313,,,5E,0,CONT,N/A,1907,2008,,3.89,,,,,,,,
Limestone,34.558498,-111.328313,,,5E,0,CONT,N/A,1907,2007,,3.17,,,,,,,,
Limestone,34.558498,-111.328313,,,2D,0.125,NOV,1975,1999,2008,,3.075,,,,,,,,
Limestone,34.558498,-111.328313,,,2D,0.125,NOV,1975,1999,2007,,1.805,,,,,,,,
Limestone,34.558498,-111.328313,,,3B,0.125,NOV,1975,1999,2007,,3.875,,,,,,,,
Limestone,34.558498,-111.328313,,,3B,0.125,NOV,1975,1999,2008,,3.845,,,,,,,,
