Site,Latitude,Longitude,Continent,FireFreq,Duration,FireSeason,BA,Density
Alapaha,31.16666667,-83.25,,0.552631579,38,WINTER,12.2,855
Alapaha,31.16666667,-83.25,,0,38,CONT,23.2,963
Alapaha,31.16666667,-83.25,,0.342105263,38,WINTER,9.8,373
Alapaha,31.16666667,-83.25,,0.394736842,38,WINTER,17.2,1433
Alapaha,31.16666667,-83.25,,0.394736842,38,WINTER,11.9,689
Alapaha,31.16666667,-83.25,,0.552631579,38,WINTER,16.7,902
Alapaha,31.16666667,-83.25,,0,38,CONT,23.4,1104
Alapaha,31.16666667,-83.25,,0.342105263,38,WINTER,23,963
Bauple,-25.8,152.617,,0,50,CONT,11.46,111.2
Bauple,-25.8,152.617,,0.35,23,JUN - OCT,14.26,165.5
Bauple,-25.8,152.617,,0.35,23,JUN - OCT,10.87,130.9
Bauple,-25.8,152.617,,0.35,23,JUN - OCT,9.6,234.8
Bauple,-25.8,152.617,,0.35,23,JUN - OCT,8.21,155.8
Bauple,-25.8,152.617,,0.89,44,JUN - OCT,14.35,108.7
Bauple,-25.8,152.617,,0.89,44,JUN - OCT,13.36,111.2
Bauple,-25.8,152.617,,0.89,44,JUN - OCT,11.92,96.4
Bauple,-25.8,152.617,,0.89,44,JUN - OCT,11.05,88.9
Bauple,-25.8,152.617,,0.89,44,JUN - OCT,10.12,91.5
Bauple,-25.8,152.617,,0,50,CONT,14.44,160.6
Bauple,-25.8,152.617,,0.89,44,JUN - OCT,15.28,108.8
Bauple,-25.8,152.617,,0,50,CONT,11.82,163.1
Bauple,-25.8,152.617,,0,50,CONT,8.9,118.6
Bauple,-25.8,152.617,,0,50,CONT,10.2,106.2
Bauple,-25.8,152.617,,0,50,CONT,15.5,150.7
Bauple,-25.8,152.617,,0.35,23,JUN - OCT,11.69,165.6
Bauple,-25.8,152.617,,0.35,23,JUN - OCT,12.43,158.1
Cedar Creek,45.417,-93.167,,0.543478261,46,APR-MAY,6.735873138,74.66666648
Cedar Creek,45.417,-93.167,,0.822222222,45,APR-MAY,1.925256246,39.9999999
Cedar Creek,45.417,-93.167,,0.8,45,APR-MAY,3.028318088,438.0891719
Cedar Creek,45.417,-93.167,,0.488888889,45,APR-MAY,1.596774743,180.6963906
Cedar Creek,45.417,-93.167,,0.681818182,44,APR-MAY,16.19583807,194.6666662
Cedar Creek,45.417,-93.167,,0.363636364,44,APR-MAY,13.1030481,154.6666662
Cedar Creek,45.417,-93.167,,0.395348837,43,APR-MAY,12.19403451,465.3927808
Cedar Creek,45.417,-93.167,,0,41,CONT,22.95731105,2362.267513
Cedar Creek,45.417,-93.167,,0,45,CONT,26.68617035,1476.815285
Cedar Creek,45.417,-93.167,,0.12195122,41,APR-MAY,6.359700037,8104.390657
Cedar Creek,45.417,-93.167,,0.119047619,42,APR-MAY,19.45955836,3895.957534
Cedar Creek,45.417,-93.167,,0.581395349,43,APR-MAY,6.450023136,50.66666654
Cedar Creek,45.417,-93.167,,0,48,CONT,37.74834498,677.3333317
Cedar Creek,45.417,-93.167,,0.8,45,APR-MAY,7.365531459,127.9999996
Cedar Creek,45.417,-93.167,,0.145833333,48,APR-MAY,12.8379536,940.815286
Cedar Creek,45.417,-93.167,,0.229166667,48,APR-MAY,5.958348074,1681.630572
Cedar Creek,45.417,-93.167,,0.043478261,23,APR-MAY,,365.3333325
Cedar Creek,45.417,-93.167,,0.1,10,APR-MAY,,1186.148619
Cedar Creek,45.417,-93.167,,0.785714286,14,APR-MAY,,82.66666646
Cedar Creek,45.417,-93.167,,0.1,10,APR-MAY,,2359.082801
Cedar Creek,45.417,-93.167,,0.785714286,14,APR-MAY,,69.33333316
ChimneySpring,35.271793,-111.708191,,0.25,28,NOV,39.87,706.7
ChimneySpring,35.271793,-111.708191,,0.1,30,NOV,37.08,672.1
ChimneySpring,35.271793,-111.708191,,0.1,30,NOV,41.26,711.64
ChimneySpring,35.271793,-111.708191,,0.25,28,NOV,32.38,741.29
ChimneySpring,35.271793,-111.708191,,0,99,CONT,47.12,1818.63
ChimneySpring,35.271793,-111.708191,,0.166666667,30,NOV,32.24,884.61
ChimneySpring,35.271793,-111.708191,,0,99,CONT,45.72,3202.37
ChimneySpring,35.271793,-111.708191,,0.125,24,NOV,41.87,800.59
ChimneySpring,35.271793,-111.708191,,0.125,24,NOV,37.05,1334.32
ChimneySpring,35.271793,-111.708191,,0,99,CONT,48.02,3143.07
ChimneySpring,35.271793,-111.708191,,1,31,NOV,51.22,1354.09
ChimneySpring,35.271793,-111.708191,,1,31,NOV,45.92,1512.23
ChimneySpring,35.271793,-111.708191,,0.166666667,30,NOV,41.94,1551.77
ChimneySpring,35.271793,-111.708191,,0.5,30,NOV,37.63,1428.22
ChimneySpring,35.271793,-111.708191,,0.125,24,NOV,36.43,2021.25
ChimneySpring,35.271793,-111.708191,,1,31,NOV,34.92,583.15
ChimneySpring,35.271793,-111.708191,,0.5,30,NOV,44.71,1398.57
ChimneySpring,35.271793,-111.708191,,0.1,30,NOV,40.1,1111.93
ChimneySpring,35.271793,-111.708191,,0.166666667,30,NOV,38.53,1225.6
ChimneySpring,35.271793,-111.708191,,0.5,30,NOV,29.91,780.83
ChimneySpring,35.271793,-111.708191,,0.25,28,NOV,26.88,509.02
